bench.id,benchnum,origin,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,diff.mean,anom.diff.mean,norm.diff.mean,clusteredness.score,irrelevance.score,auc.ci.0.999,ap.ci.0.999
concrete_benchmark_0001,1,regression,concrete,465,225,240,ar-0,pd-0,none,ir-0,0.483870967741935,0.365850192547707,0.366280616105148,0.365446670462607,-0.343762915012969,0,0.559925925925926,0.56872377173803
concrete_benchmark_0002,2,regression,concrete,465,219,246,ar-0,pd-0,none,ir-0,0.470967741935484,0.362840258247957,0.363512605139713,0.362241705527248,-0.406526100519289,0,0.560400193043026,0.556753633188805
concrete_benchmark_0003,3,regression,concrete,465,242,223,ar-0,pd-0,none,ir-0,0.520430107526882,0.363777486671809,0.365250918133143,0.362178516207043,-0.42525977153517,0,0.557777118926732,0.603446630109346
concrete_benchmark_0004,4,regression,concrete,465,233,232,ar-0,pd-0,none,ir-0,0.501075268817204,0.365083395962068,0.365277427544075,0.364888528037035,-0.404535045930949,0,0.558753884860145,0.585442525686174
concrete_benchmark_0005,5,regression,concrete,465,221,244,ar-0,pd-0,none,ir-0,0.475268817204301,0.36408320663427,0.366856698426731,0.361571150543558,-0.364384056664286,0,0.560103108078036,0.560902299017795
concrete_benchmark_0006,6,regression,concrete,465,241,224,ar-0,pd-0,none,ir-1,0.518279569892473,0.360712703160895,0.363022812812092,0.358227272687956,-0.397331900401351,0.318909442325394,0.557646710136337,0.601603095030033
concrete_benchmark_0007,7,regression,concrete,465,255,210,ar-0,pd-0,none,ir-1,0.548387096774194,0.362845767554579,0.363696812512629,0.361812355819805,-0.305291392273953,0.325828020357138,0.556153127917834,0.629717350541307
concrete_benchmark_0008,8,regression,concrete,465,235,230,ar-0,pd-0,none,ir-1,0.505376344086022,0.363380981213418,0.364508566840482,0.362228882855331,-0.317102572213213,0.309349529227394,0.558297890841814,0.589470493192419
concrete_benchmark_0009,9,regression,concrete,465,234,231,ar-0,pd-0,none,ir-1,0.503225806451613,0.365309650897019,0.365124968887793,0.365496731373898,-0.288108683499938,0.307270133606613,0.558441558441558,0.587223804815241
concrete_benchmark_0010,10,regression,concrete,465,246,219,ar-0,pd-0,none,ir-1,0.529032258064516,0.364554172646063,0.366366210009796,0.362518733415568,-0.384474967235897,0.335436362167024,0.557077625570776,0.611814518773087
concrete_benchmark_0011,11,regression,concrete,465,231,234,ar-0,pd-0,none,ir-2,0.496774193548387,0.363498044133498,0.368621704219377,0.358440071997438,-0.349049294801759,0.810761067005426,0.558922577422578,0.580848488575315
concrete_benchmark_0012,12,regression,concrete,465,235,230,ar-0,pd-0,none,ir-2,0.505376344086022,0.364653622733441,0.366367444592023,0.362902543877934,-0.283811086880138,0.823279453962209,0.558297890841814,0.589470493192419
concrete_benchmark_0013,13,regression,concrete,465,221,244,ar-0,pd-0,none,ir-2,0.475268817204301,0.363451647475766,0.363114529286161,0.363756988131104,-0.414292237776304,0.828106892269437,0.560103108078036,0.560902299017795
concrete_benchmark_0014,14,regression,concrete,465,242,223,ar-0,pd-0,none,ir-2,0.520430107526882,0.361820068689478,0.362850845867425,0.360701467447044,-0.313606891666329,0.832847750285585,0.557777118926732,0.603446630109346
concrete_benchmark_0015,15,regression,concrete,465,239,226,ar-0,pd-0,none,ir-2,0.513978494623656,0.360709851129234,0.36185256831402,0.359501402424968,-0.327984792392729,0.861173179859446,0.558133076609768,0.597426180920132
concrete_benchmark_0016,16,regression,concrete,465,214,251,ar-0,pd-0,none,ir-3,0.460215053763441,0.366269916043321,0.364332152467317,0.367922033195771,-0.32071733838396,1.36340919831959,0.560896600513832,0.546176518009132
concrete_benchmark_0017,17,regression,concrete,465,245,220,ar-0,pd-0,none,ir-3,0.526881720430108,0.364275033577983,0.364983103656927,0.363486500990069,-0.318815885180117,1.35652076854285,0.557272727272727,0.609070435966436
concrete_benchmark_0018,18,regression,concrete,465,230,235,ar-0,pd-0,none,ir-3,0.494623655913978,0.364042689700875,0.367221514203024,0.360931499762602,-0.370608613252443,1.44475685675418,0.55900092506938,0.579096934875548
concrete_benchmark_0019,19,regression,concrete,465,238,227,ar-0,pd-0,none,ir-3,0.511827956989247,0.363562100962362,0.364232480554337,0.362859236015709,-0.262413802958366,1.39599139696084,0.557898049087476,0.595348451573454
